season,game_id,period,team_id,FOUL,FTA,FTM,PERS_FOUL_DRAWN,LOOSE_BALL_FOUL_DRAWN
2024-25,22400054,3,1610612754,3,4,2,1,0
2024-25,22400054,3,1610612761,5,7,4,2,0
2024-25,22400054,4,1610612754,6,9,7,2,0
2024-25,22400054,4,1610612761,9,16,12,3,0
2024-25,22400055,1,1610612760,1,1,1,0,0
2024-25,22400055,1,1610612762,4,1,1,3,0
2024-25,22400055,2,1610612760,2,2,1,0,1
2024-25,22400055,2,1610612762,5,6,4,2,0
2024-25,22400055,3,1610612760,3,4,4,0,1
2024-25,22400055,3,1610612762,8,8,6,5,1
2024-25,22400055,4,1610612760,5,4,4,3,0
2024-25,22400055,4,1610612762,6,7,6,2,1
2024-25,22400056,1,1610612742,3,7,6,0,0
2024-25,22400056,1,1610612763,5,2,2,4,0
2024-25,22400056,2,1610612742,6,8,4,1,0
2024-25,22400056,2,1610612763,5,4,3,2,1
2024-25,22400056,3,1610612742,3,3,2,1,0
2024-25,22400056,3,1610612763,4,5,5,2,1
2024-25,22400056,4,1610612742,14,26,18,5,2
2024-25,22400056,4,1610612763,3,3,3,2,0
2024-25,22400057,1,1610612756,2,0,0,2,0
2024-25,22400057,1,1610612759,1,1,1,0,0
2024-25,22400057,2,1610612756,3,4,3,1,0
2024-25,22400057,2,1610612759,5,7,4,0,0
2024-25,22400057,3,1610612756,4,6,6,1,0
2024-25,22400057,3,1610612759,7,8,7,1,0
2024-25,22400057,4,1610612756,7,11,8,4,0
2024-25,22400057,4,1610612759,3,4,3,1,0
2024-25,22400058,1,1610612743,3,5,4,0,0
2024-25,22400058,1,1610612744,4,5,4,0,1
2024-25,22400058,2,1610612743,4,3,3,2,0
2024-25,22400058,2,1610612744,4,6,5,1,0
2024-25,22400058,3,1610612743,10,17,13,3,0
2024-25,22400058,3,1610612744,4,7,3,0,0
2024-25,22400058,4,1610612743,6,10,8,0,0
2024-25,22400058,4,1610612744,2,3,3,1,0
2024-25,22400059,1,1610612745,3,4,3,0,1
2024-25,22400059,1,1610612758,2,0,0,1,1
2024-25,22400059,2,1610612745,7,5,3,4,0
