alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated
common,kbar,1.5,8,3200,8,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.1023852643400631,0.0128084977262775,0.3758705442658128,0.0305594844730595,0.0,0.0,,,,,0,,,0,,,,,0.91,4.073480228000844,0.3942524856192427,,,,,
common,kbar,1.5,8,3200,8,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0222527472527472,0.0061465487729719,0.0814409609997845,0.0105868727258854,0.0,0.0,,,,,0,,,0,,,,,0.16,0.5733641030004947,0.0041033309122261,,,,,
common,kbar,1.5,8,3200,8,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.5489407009735452,0.0193328100019455,0.9003939096753741,0.0069265543600115,0.0,0.0,,,,,0,,,0,,,,,5.52,7.97424914200019,0.304104539978148,,,,,
common,kbar,1.5,8,3200,8,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.5816032959862817,0.014303384155346,0.8123058250477633,0.0083994341560687,0.0,0.0,,,,,0,,,0,,,,,7.83,0.9912382160004928,0.0601779279017145,,,,,
common,kbar,2.0,8,3200,8,LibraryDP,0.15,0.85,5,2.0,exact_edges,2.0,0.0,12,100,0.9604882836034604,0.0067619401078023,0.9699057577627068,0.0047621837660804,0.52,0.0502116731568678,0.86625,0.0120833333333333,0.0361057801662351,0.0024968600346835,52,0.05727660596056,0.0050345008205775,100,8.724746585535152,0.6496019685779941,0.0887690749662876,0.0088695582239598,15.15,24.895299132998773,0.7862416831320332,24.894549525999608,0.786240270610796,0.0007496069991611,9.36815606121282e-06,960.0
common,kbar,2.0,8,3200,8,LibraryGreedy,0.15,0.85,5,2.0,exact_edges,2.0,0.0,12,100,0.8646721393178567,0.0146932091287898,0.9327218873543957,0.0068425903645765,0.28,0.0451260859854212,0.775,0.0175881617670362,0.0362349148639634,0.0024390092094584,28,0.096164707965571,0.0077266638788048,100,12.744021632667472,0.8830078624920402,0.1751319683601257,0.013005208718897,13.45,1.9097577029999229,0.0543945966156444,1.9017166019929568,0.0542934091844029,0.0080411010069656,0.0001665248672283,150.31
common,kbar,2.0,8,3200,8,OracleDP,0.15,0.85,5,2.0,exact_edges,2.0,0.0,12,100,0.9697823293742616,0.0046734476143977,0.975440229615964,0.0038853027183209,0.57,0.0497569851956243,1.0,0.0,0.0369503849502781,0.0023792710529268,57,0.0491878788923311,0.0039072324355709,100,7.865041700814552,0.5579781581037978,0.0713004723246679,0.0067260926491827,15.36,7.600411792001687,0.6483768388024598,7.599703553000581,0.6483760088206026,0.0007082390011055,7.158578149293747e-06,960.0
common,kbar,2.0,8,3200,8,PBSCM,0.15,0.85,5,2.0,exact_edges,2.0,0.0,12,100,0.1029125874360006,0.0137260285401299,0.3180003592019626,0.0302015226506353,0.0,0.0,,,,,0,,,0,,,,,1.23,4.751446614999004,0.5558584255518412,,,,,
common,kbar,2.0,8,3200,8,PBSCM_PGF,0.15,0.85,5,2.0,exact_edges,2.0,0.0,12,100,0.0150467836257309,0.004987032501827,0.09734434124527,0.0092920028742781,0.0,0.0,,,,,0,,,0,,,,,0.14,0.5913839510000253,0.0059546663979933,,,,,
common,kbar,2.0,8,3200,8,PC-RCIT,0.15,0.85,5,2.0,exact_edges,2.0,0.0,12,100,0.4785965106279174,0.0165530937554317,0.8411969326928173,0.0065392288401682,0.0,0.0,,,,,0,,,0,,,,,6.19,14.518867319000128,0.5068799722170378,,,,,
